City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lüderitz,-26.6481,15.1594,66.22,94,4,6.71,NA,1671047792
Klaksvík,62.2266,-6.589,34.72,67,100,28.5,FO,1671047792
Vardø,70.3705,31.1107,17.58,79,75,16.11,NO,1671047792
Arraial do Cabo,-22.9661,-42.0278,78.76,57,40,12.66,BR,1671047793
Bredasdorp,-34.5322,20.0403,69.85,85,47,4.23,ZA,1671047793
Tuatapere,-46.1333,167.6833,58.03,89,42,4.12,NZ,1671047794
Road Town,18.4167,-64.6167,77.43,68,0,10.2,VG,1671047794
Grand Forks,47.9417,-97.4337,33.53,100,100,8.05,US,1671047795
Rikitea,-23.1203,-134.9692,74.01,70,83,9.48,PF,1671047795
Hong Kong,22.2855,114.1577,55.33,92,98,11.99,HK,1671047796
Jamestown,42.097,-79.2353,35.94,50,0,6.91,US,1671047556
Albany,42.6001,-73.9662,32.72,59,3,6.71,US,1671047549
Katsuura,35.1333,140.3,45.43,49,37,10.42,JP,1671047796
Bengkulu,-3.8004,102.2655,75.29,81,100,4.14,ID,1671047797
Samarai,-10.6167,150.6667,80.82,78,77,3.76,PG,1671047797
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,4.0,EC,1671047797
Mahébourg,-20.4081,57.7,75.49,88,75,8.05,MU,1671047798
Ushuaia,-54.8,-68.3,55.02,76,75,19.57,AR,1671047798
Longyearbyen,78.2186,15.6401,-8.43,88,16,5.5,SJ,1671047647
Biak,-0.9131,122.8766,75.94,83,100,3.24,ID,1671047799
Cayenne,4.9333,-52.3333,82.44,78,75,8.05,GF,1671047799
Mataura,-46.1927,168.8643,56.88,89,100,3.2,NZ,1671047800
Tuktoyaktuk,69.4541,-133.0374,-4.0,84,20,6.91,CA,1671047800
Castro,-24.7911,-50.0119,68.45,76,86,5.17,BR,1671047800
Saldanha,-33.0117,17.9442,66.06,93,6,12.19,ZA,1671047801
Marawi,7.9986,124.2928,68.25,96,95,1.41,PH,1671047801
Punta Arenas,-53.15,-70.9167,53.71,50,20,19.57,CL,1671047802
Cape Town,-33.9258,18.4232,71.11,87,75,15.99,ZA,1671047802
Ribeira Grande,38.5167,-28.7,57.78,54,40,10.36,PT,1671047628
Mar del Plata,-38.0023,-57.5575,91.42,32,0,20.71,AR,1671047803
Bairiki Village,1.3292,172.9752,80.6,83,20,3.44,KI,1671047803
Port Macquarie,-31.4333,152.9167,55.89,53,0,8.3,AU,1671047803
Isangel,-19.55,169.2667,71.71,88,40,4.61,VU,1671047804
Hay River,60.8156,-115.7999,8.58,78,75,10.36,CA,1671047804
Talnakh,69.4865,88.3972,-5.8,95,100,12.06,RU,1671047805
Itaporanga,-7.3044,-38.1503,92.84,26,100,10.09,BR,1671047806
Zelenoborsk,61.4669,64.0333,9.77,83,13,8.19,RU,1671047806
Avarua,-21.2078,-159.775,78.85,89,75,14.97,CK,1671047806
Kumul,42.8,93.45,22.37,52,96,9.33,CN,1671047807
Cabo San Lucas,22.8909,-109.9124,77.61,60,29,4.0,MX,1671047541
Doka,13.5167,35.7667,77.72,25,100,8.16,SD,1671047807
Mount Isa,-20.7333,139.5,74.97,19,61,13.8,AU,1671047808
Port Blair,11.6667,92.75,80.64,69,40,3.44,IN,1671047808
Bosaso,11.2842,49.1816,72.7,67,2,3.38,SO,1671047808
Masterton,-40.9597,175.6575,61.88,98,100,5.5,NZ,1671047809
Saint Paul Harbor,57.79,-152.4072,33.31,100,100,4.61,US,1671047779
Yellowknife,62.456,-114.3525,9.12,85,75,12.66,CA,1671047809
Norwich,52.6278,1.2983,34.25,94,75,5.75,GB,1671047810
Bluff,-46.6,168.3333,56.25,89,37,10.83,NZ,1671047810
Kaitangata,-46.2817,169.8464,55.27,94,100,3.94,NZ,1671047810
Nikolskoye,59.7035,30.7861,21.79,93,100,11.18,RU,1671047811
Lac du Bonnet,50.2536,-96.0612,32.23,96,100,9.48,CA,1671047811
Busselton,-33.65,115.3333,58.19,80,0,13.04,AU,1671047812
Rabat,33.9911,-6.8401,61.03,98,75,17.27,MA,1671047526
Touros,-5.1989,-35.4608,80.89,72,35,12.17,BR,1671047812
Esperance,-33.8667,121.9,58.23,69,40,13.29,AU,1671047812
Hermanus,-34.4187,19.2345,68.81,89,91,3.13,ZA,1671047813
Hilo,19.7297,-155.09,80.28,92,13,3.0,US,1671047813
Waddān,29.1614,16.139,69.26,38,0,4.45,LY,1671047814
Richards Bay,-28.783,32.0377,75.11,93,100,3.65,ZA,1671047814
Faanui,-16.4833,-151.75,79.63,78,85,18.43,PF,1671047815
Hobart,-42.8794,147.3294,49.86,90,75,12.66,AU,1671047553
Lebu,-37.6167,-73.65,64.69,71,2,7.4,CL,1671047815
Kindu,-2.95,25.95,68.52,99,100,2.24,CD,1671047816
Cortez,37.3489,-108.5859,34.03,65,11,14.27,US,1671047816
New Norfolk,-42.7826,147.0587,49.5,78,60,1.99,AU,1671047816
Sihorā,23.4833,80.1167,62.49,36,5,2.68,IN,1671047817
Sulangan,11.1373,123.7228,81.28,81,78,14.38,PH,1671047817
Zhezkazgan,47.8043,67.7144,8.67,87,9,10.6,KZ,1671047818
Chon Daen,16.1895,100.8596,67.19,72,6,3.58,TH,1671047818
Mirny,62.5353,113.9611,-12.14,98,100,2.64,RU,1671047818
Vaini,-21.2,-175.2,78.96,89,40,9.22,TO,1671047819
Tual,-5.6667,132.75,83.07,71,73,4.18,ID,1671047819
George Town,5.4112,100.3354,78.89,82,20,5.01,MY,1671047700
Kyaikkami,16.08,97.5675,73.99,74,100,8.75,MM,1671047820
Cherskiy,68.75,161.3,-37.8,98,100,7.07,RU,1671047529
Khatanga,71.9667,102.5,-0.74,95,100,12.59,RU,1671047820
Krems,48.4092,15.6142,37.54,93,100,3.06,AT,1671047821
Dikson,73.5069,80.5464,-1.34,90,100,7.72,RU,1671047821
Barrow,71.2906,-156.7887,-0.9,94,84,17.78,US,1671047821
Ketchikan,55.3422,-131.6461,39.18,100,100,5.75,US,1671047649
Kruisfontein,-34.0033,24.7314,65.25,89,0,3.89,ZA,1671047822
Carnarvon,-24.8667,113.6333,71.73,68,0,20.18,AU,1671047822
Otane,-39.8833,176.6333,63.01,98,100,9.04,NZ,1671047823
Pedernales,18.0384,-71.744,82.49,56,6,2.75,DO,1671047823
Sarangani,5.4033,125.4636,81.57,76,100,7.58,PH,1671047823
Berlevåg,70.8578,29.0864,15.8,79,98,12.66,NO,1671047824
Sosnovo-Ozerskoye,52.5249,111.5418,-8.63,97,100,11.12,RU,1671047824
Cidreira,-30.1811,-50.2056,72.93,56,0,12.93,BR,1671047825
Khovd,48.0056,91.6419,-1.64,88,83,6.04,MN,1671047825
Luz,-19.8014,-45.6856,77.43,68,98,6.51,BR,1671047825
Lompoc,34.6391,-120.4579,63.01,58,0,3.0,US,1671047616
Idritsa,56.3316,28.8988,15.48,90,96,10.51,RU,1671047826
Eruwa,7.5333,3.4167,83.03,48,39,6.78,NG,1671047827
Flinders,-34.5833,150.8552,59.18,57,22,10.0,AU,1671047827
Ryōtsu-minato,38.0833,138.4333,38.21,88,100,17.56,JP,1671047827
Port Alfred,-33.5906,26.891,65.17,93,33,1.99,ZA,1671047828
Ponta do Sol,32.6667,-17.1,67.01,71,26,20.13,PT,1671047828
São Filipe,14.8961,-24.4956,80.69,47,14,10.89,CV,1671047829
Fanai,38.517,44.9745,43.09,81,100,3.4,IR,1671047829
Tooele,40.5308,-112.2983,31.03,78,44,5.23,US,1671047830
Jodhpur,26.2867,73.03,61.63,30,0,8.59,IN,1671047830
Upernavik,72.7868,-56.1549,21.99,80,100,7.85,GL,1671047830
Eau Claire,44.8114,-91.4985,35.98,94,100,8.01,US,1671047831
Poso,-1.3959,120.7524,76.62,85,100,3.51,ID,1671047831
Tiksi,71.6872,128.8694,-28.55,98,68,9.22,RU,1671047832
Tshikapa,-6.4167,20.8,67.33,98,85,1.74,CD,1671047832
Yar-Sale,66.8333,70.8333,1.09,95,44,12.62,RU,1671047833
Budeşti,44.2347,26.4658,38.59,83,100,8.08,RO,1671047833
Borogontsy,62.6683,131.1683,-61.08,100,66,2.1,RU,1671047834
Chokurdakh,70.6333,147.9167,-19.68,96,100,8.28,RU,1671047834
Okhotsk,59.3833,143.3,2.8,65,100,21.56,RU,1671047835
Bathsheba,13.2167,-59.5167,84.81,90,20,17.27,BB,1671047835
Comodoro Rivadavia,-45.8667,-67.5,66.06,37,40,14.97,AR,1671047641
Lae,-6.7221,146.9847,76.41,82,100,6.96,PG,1671047835
Ayan,56.45,138.1667,-15.9,94,100,26.69,RU,1671047836
Ritchie,-29.038,24.6028,74.82,53,65,9.93,ZA,1671047836
Hithadhoo,-0.6,73.0833,80.49,78,96,10.45,MV,1671047837
Nahrin,36.0649,69.1334,45.3,31,30,5.28,AF,1671047837
Ponérihouen,-21.0833,165.4,77.5,74,36,3.47,NC,1671047837
Sørland,67.667,12.6934,35.46,67,100,32.59,NO,1671047838
Sayansk,54.1088,102.1648,3.63,85,100,14.07,RU,1671047838
Qaanaaq,77.484,-69.3632,6.96,86,100,7.96,GL,1671047839
Gorom-Gorom,14.4439,-0.2361,77.76,9,87,8.12,BF,1671047840
Sembakung,3.8167,117.25,72.86,99,100,1.63,ID,1671047840
Aranos,-24.1333,19.1167,78.3,45,24,18.28,NA,1671047841
Severo-Kuril'sk,50.6789,156.125,33.13,93,100,28.63,RU,1671047841
Belmonte,-15.8631,-38.8828,72.97,95,100,10.07,BR,1671047841
Srednekolymsk,67.45,153.6833,-46.66,100,56,4.21,RU,1671047842
Petatlán,17.5167,-101.2667,85.14,50,6,7.25,MX,1671047842
Straumen,63.8709,11.2999,15.8,93,99,1.52,NO,1671047843
Beisfjord,68.3751,17.5988,21.25,96,100,2.33,NO,1671047843
Chui,-33.6971,-53.4616,78.33,43,0,13.09,UY,1671047843
San Patricio,28.017,-97.5169,75.07,25,0,19.57,US,1671047844
Porto Walter,-8.2686,-72.7439,92.8,42,99,2.39,BR,1671047844
Bud,39.447,-86.1758,49.33,98,100,13.35,US,1671047845
Jutaí,-5.1833,-68.9,80.11,90,100,2.13,BR,1671047845
Labuhan,-6.8844,112.2051,79.11,80,57,5.57,ID,1671047846
Kapaa,22.0752,-159.319,78.78,79,18,3.0,US,1671047846
East London,-33.0153,27.9116,70.95,92,65,7.87,ZA,1671047846
Bamiantong,44.9333,130.5333,-1.23,65,1,13.09,CN,1671047847
Hasaki,35.7333,140.8333,37.8,40,98,3.6,JP,1671047847
Phalaborwa,-23.943,31.1411,74.7,79,97,4.34,ZA,1671047848
Codrington,-38.2667,141.9667,52.68,67,100,13.98,AU,1671047848
Butaritari,3.0707,172.7902,80.6,76,99,5.28,KI,1671047848
Yangi Marg`ilon,40.4272,71.7189,29.12,93,100,2.3,UZ,1671047849
Casper,42.8666,-106.3131,25.72,75,100,8.01,US,1671047814
Cap Malheureux,-19.9842,57.6142,73.47,84,22,1.01,MU,1671047849
Hamilton,39.1834,-84.5333,49.23,95,100,11.5,US,1671047850
Lorengau,-2.0226,147.2712,80.65,81,97,8.99,PG,1671047850
Fortuna,40.5982,-124.1573,49.98,83,0,1.99,US,1671047851
Airai,-8.9266,125.4092,60.42,87,78,1.21,TL,1671047851
Eyrarbakki,63.863,-21.1481,15.85,71,99,9.22,IS,1671047851
Ust-Maya,60.4167,134.5333,-45.54,98,100,1.1,RU,1671047852
Shimoda,34.6667,138.95,39.11,71,29,16.31,JP,1671047852
Baruun-Urt,46.6806,113.2792,-13.79,89,5,7.52,MN,1671047853
Sibolga,1.7427,98.7792,74.55,88,99,2.35,ID,1671047854
Honningsvåg,70.9821,25.9704,20.95,73,20,1.14,NO,1671047854
Dingle,10.9995,122.6711,74.91,95,100,7.31,PH,1671047855
Marsh Harbour,26.5412,-77.0636,74.48,65,25,12.84,BS,1671047855
Vila do Maio,15.1333,-23.2167,79.59,77,100,14.38,CV,1671047855
Thompson,55.7435,-97.8558,26.76,100,100,3.44,CA,1671047856
Campo Grande,-20.4428,-54.6464,90.95,46,40,9.22,BR,1671047856
Dera Bugti,29.0307,69.151,58.69,34,0,5.12,PK,1671047857
Haines Junction,60.7522,-137.5108,19.35,93,100,4.61,CA,1671047841
Maraã,-1.8333,-65.3667,83.5,68,90,0.43,BR,1671047857
Mamakan,57.8161,114.0028,-9.99,99,100,1.77,RU,1671047858
Mahina,-17.5065,-149.489,83.97,70,75,3.44,PF,1671047858
Aykhal,66.0,111.5,-23.13,99,100,7.14,RU,1671047858
Taoudenni,22.6783,-3.9836,80.6,21,0,3.67,ML,1671047859
Novoomskiy,54.8415,73.3017,-16.58,69,11,4.47,RU,1671047859
